"Name
",Wicket
AB Agarkar,5
S Aravind,50
R Ashwin,52
P Awana,0
S Badrinath,0
L Balaji,10
STR Binny,1
JJ Bumrah,34
YS Chahal,14
PP Chawla,4
R Dhawan,1
S Dhawan,0
MS Dhoni,0
AB Dinda,17
R Dravid,0
G Gambhir,0
Harbhajan Singh,25
RA Jadeja,31
KM Jadhav,0
Joginder Sharma,4
KD Karthik,0
M Kartik,0
Z Khan,17
V Kohli,4
Kuldeep Yadav,3
DS Kulkarni,3
B Kumar,17
P Kumar,8
Mandeep Singh,0
A Mishra,16
Mohammed Shami,8
D Mongia,0
P Negi,1
A Nehra,34
NV Ojha,0
PP Ojha,10
MK Pandey,0
HH Pandya,15
RR Pant,0
Parvez Rasool,1
AR Patel,7
MM Patel,4
PA Patel,0
IK Pathan,28
YK Pathan,13
AM Rahane,0
KL Rahul,0
SK Raina,12
AT Rayudu,0
SV Samson,0
Sandeep Sharma,1
V Sehwag,0
I Sharma,8
KV Sharma,1
MM Sharma,6
R Sharma,3
RG Sharma,1
RP Singh,15
BB Sran,6
S Sreesanth,7
SR Tendulkar,1
MK Tiwary,0
S Tyagi,0
JD Unadkat,0
RV Uthappa,0
M Vijay,0
R Vinay Kumar,10
UT Yadav,1
Yuvraj Singh,28
